Scenario_No,Run_No,TT_seg_len,Avg_TT,Avg_TT_CHGV,Max_TT,Max_TT_CHGV,std_TT,std_TT_21,Max_Queue_Len_ramp1,Avg_Queue_Len_ramp1,Std_Queue_ramp1,Max_Queue_Len_freln1,Avg_Queue_freln1,Std_Queue_freln1,Max_Queue_Len_ramp2,Avg_Queue_Len_ramp2,Std_Queue_ramp2,Max_Queue_Len_freln2,Avg_Queue_freln2,Std_Queue_freln2
Scenario3,1,3800,42.8348,43.8871,56.6518,52.6261,2.55873,2.68618,154.565,35.1496,43.7767,154.069,14.7042,27.2039,193.862,51.382,52.1307,207.641,23.3628,40.0856
Scenario3,2,3800,42.5909,43.375,50.1836,48.2889,1.46764,2.04349,155.933,40.8742,47.7289,94.3761,15.7957,25.4765,178.785,46.6451,56.8984,105.032,18.1897,29.1213
Scenario3,3,3800,43.0835,43.5405,51.9259,51.8522,2.16026,2.44343,168.963,35.868,49.5423,103.716,13.4183,24.4762,281.84,52.8229,59.176,139.552,16.3265,25.8246
Scenario3,4,3800,43.4648,45.2897,51.2329,63.3298,2.46077,4.9221,184.432,50.3522,52.4266,161.586,22.3802,32.629,186.118,64.0225,52.948,202.105,28.104,38.9895
Scenario3,5,3800,43.255,43.9912,57.0206,54.0836,2.96054,3.23487,200.703,45.0245,58.5156,164.171,20.9865,38.1583,183.611,44.5932,57.6069,295.418,24.7656,53.9195
Scenario4,1,5499.95,62.0769,63.5395,73.5661,72.5149,2.61523,3.01366,152.143,34.6707,42.7198,151.483,14.5983,26.684,348.267,56.3742,75.2921,126.453,26.004,36.6876
Scenario4,2,5499.95,61.8162,62.7555,66.8137,73.3271,1.74589,3.32861,157.848,39.3145,47.6869,91.7899,14.3713,24.468,176.508,55.5078,50.1594,118.657,24.6495,27.8615
Scenario4,3,5499.95,62.6549,63.4302,70.8026,76.0551,2.67087,3.8766,166.541,35.9249,49.5744,101.13,12.684,23.6654,244.288,63.3297,63.8641,185.693,32.264,45.5457
Scenario4,4,5499.95,63.2026,64.9383,73.5836,85.8323,3.2055,5.74144,182.01,52.7106,53.1877,187.186,26.7934,39.6717,604.29,90.9013,133.467,294.158,43.9522,74.1502
Scenario4,5,5499.95,61.9759,63.2667,68.193,68.8681,2.16698,2.90266,197.922,44.4122,57.8562,161.585,20.3125,37.1095,165.763,42.1866,50.6432,135.929,19.8176,31.3471
